"","population","BroodYear","R_lwr","R_med","R_upr","S_lwr","S_med","S_upr"
"136","Upper Lakes and Mainstem",2001,3.64947091448282,4.71917807188864,6.74842080435833,8.54783033894573,12.1759756788976,17.5164264042908
"137","Lower Mainstem",2002,6.97867220815434,9.19915034026048,11.9818187845303,6.76863512998543,8.32603418431149,10.2332057380997
"138","White-Donjek",2002,5.13225499861213,6.55260233180764,8.45678388593425,1.58745893753022,2.5366839514792,4.00129009489798
"139","Pelly",2002,9.43486033790646,11.9594574064229,15.1488137619083,4.12112664878002,5.36434582946761,6.9777233213195
"140","Stewart",2002,2.91469082165541,3.88343660962765,5.10050601218702,1.84025385129108,2.66312534347181,3.83365641463449
"141","Carmacks",2002,8.07993221143311,11.0528936672353,15.6958972555853,3.78392321495236,5.236974675405,7.28721367733626
"142","Teslin",2002,9.75278887930452,13.8513983430438,18.8898781389116,1.60500804905024,2.98184747603126,5.26419444966868
"143","Middle Mainstem",2002,7.47019219884703,9.11014986212672,11.1821460596896,21.6472787184808,24.7829747189194,28.4651913850743
"144","Upper Lakes and Mainstem",2002,2.9131207940052,5.24768179140431,7.56030342243491,2.59426733544812,3.37324234023448,4.36746481489747
"145","Lower Mainstem",2003,10.9805125698471,13.4353301738754,16.4427458108284,13.0144618447915,15.2326059558898,17.7701189459063
"146","White-Donjek",2003,6.33779388572041,8.52740708498315,11.618657793897,6.3943996849743,7.87175595798479,9.74915702596435
"147","Pelly",2003,15.2081062589259,17.6615977674227,20.5447567513973,10.1288207195264,12.3803960741053,15.1536561684692
"148","Stewart",2003,5.86913427327342,7.12453664467402,8.59033973453734,2.1466696662607,3.23371578956818,4.7771255212201
"149","Carmacks",2003,14.6811413876789,17.8596095592129,22.9644189704889,5.66371300708846,7.25678722898711,9.33381180828814
"150","Teslin",2003,12.6615869066996,17.0890420738559,22.8925201980127,2.67923035888482,4.01789513457607,5.938434696854
"151","Middle Mainstem",2003,9.15782438636122,10.7770643009684,12.7571283318266,9.15956940832893,11.0146012759774,13.3246165043274
"152","Upper Lakes and Mainstem",2003,1.57930370026115,3.09858980170036,5.48909327999327,4.08896850151149,5.00849402749662,6.1243634448095
"153","Lower Mainstem",2004,3.65799829379132,5.3375261955282,7.5941575174252,9.59054890145737,11.4252341876823,13.5976689751011
"154","White-Donjek",2004,3.12943808880737,4.71665400529858,6.79733837042784,2.08971373016006,3.21019759882884,4.8871815199727
"155","Pelly",2004,8.42347784892233,10.1587254567053,12.2255803538531,6.87127003585575,8.77726383152965,11.1757470117698
"156","Stewart",2004,3.24499454130021,4.17025350825763,5.24904280778726,2.74308899941861,3.88689846613534,5.57054403371092
"157","Carmacks",2004,9.00953691211729,11.293248524958,13.9758490042643,4.2278862401438,5.58180830535702,7.33851498580457
"158","Teslin",2004,9.43126282220033,12.1255725580406,15.5525240765491,2.69036991219781,3.9279178967588,5.74659567185782
"159","Middle Mainstem",2004,7.86032974468214,9.45875292158079,11.5619272481652,11.9950544472054,14.1096647987518,16.622074119425
"160","Upper Lakes and Mainstem",2004,2.70366036502344,3.77238786242448,5.50398777864024,5.52159411641389,6.73611809214767,8.20649489466309
"161","Lower Mainstem",2005,6.4958983801303,8.7305899684299,11.6754405527157,9.4207852659742,11.4040771946008,13.8020262296808
"162","White-Donjek",2005,4.71852056405357,6.55609644510216,8.93664073589481,5.18331259559179,6.87320867575273,9.09355710941273
"163","Pelly",2005,9.31818666367403,11.2348461660086,13.5870933142381,6.85130416265049,8.47037979146097,10.504113962541
"164","Stewart",2005,4.29152119330055,5.30411320073494,6.49730193944734,2.04301640696002,3.04161566053603,4.49261491497342
"165","Carmacks",2005,14.7230063020402,17.9217636660237,21.6810100362046,9.12981991141487,10.9579562466192,13.126062112152
"166","Teslin",2005,6.87277673903331,8.89278023063725,11.350646746527,6.60806422034781,8.36120036570508,10.6200465525853
"167","Middle Mainstem",2005,13.7348918778183,16.0021692075747,18.8775325999267,13.7872125354269,14.1305912008089,14.4877925725913
"168","Upper Lakes and Mainstem",2005,5.74167978753173,7.51848777252283,9.37967229974443,5.47597745148024,5.66315432231864,5.85663147308835
"169","Lower Mainstem",2006,4.14263535942475,7.04119135061828,10.23129869976,13.6070136467715,14.3015557321298,15.0381932255545
"170","White-Donjek",2006,2.53903217270504,3.63141675709093,5.09059192433407,2.32431130762716,3.90019837574906,6.59205749712863
"171","Pelly",2006,6.56853524230046,8.16510941868646,10.0630840450709,11.1127640039009,12.8672881850704,14.8696454963541
"172","Stewart",2006,2.51872057249106,3.31408283216422,4.29328825318569,1.37024006031317,1.54299802413176,1.73486909313453
"173","Carmacks",2006,8.44292631920624,10.8098581196718,13.6228293006496,16.1631716540581,17.9910591215376,19.9979496420565
"174","Teslin",2006,4.45410916869127,5.93451109214113,7.77774264398531,2.94981067926693,4.66021721831167,7.33060256091974
"175","Middle Mainstem",2006,10.9922345238257,12.7819648776848,14.9760166653713,6.41375382004969,6.6688257908541,6.93386666947577
"176","Upper Lakes and Mainstem",2006,2.75095468971659,3.99374551087917,5.60388540420842,2.137955631411,2.2629649033105,2.39239675744288
"177","Lower Mainstem",2007,3.61867825434872,6.29815335347357,9.70443188165815,3.16627657392866,4.50383262869606,6.39654700612346
"178","White-Donjek",2007,1.71629221314818,2.64423821971728,3.96358902590523,5.54167621297997,5.83650400727751,6.1490314714371
"179","Pelly",2007,3.86846196421988,4.98529079810882,6.32479788421974,7.47538284524767,8.83387579847582,10.4745021187084
"180","Stewart",2007,0.832486888919406,1.29495393877779,1.87317577146884,1.9286368488777,2.32113303139672,2.78747595079458
"181","Carmacks",2007,7.8250357726012,9.57709706143276,11.6407169951992,4.99735380878909,5.2927237975897,5.60729415550145
"182","Teslin",2007,7.64612598386227,9.74989458959822,12.0994059382839,6.04880701576654,6.44932306736582,6.86765700686865
"183","Middle Mainstem",2007,6.92701155143048,8.02688130531447,9.32157665842359,2.08687103141067,2.23240001250903,2.38606188370961
"184","Upper Lakes and Mainstem",2007,2.28638184147791,3.2624813012576,4.51611860097489,1.19695103376229,1.27163920462346,1.35080044212712
"185","Lower Mainstem",2008,1.05127909243931,2.24453296701914,4.30478068126589,4.0287143430646,4.62960684221329,5.30295952744399
"186","White-Donjek",2008,1.32012361074877,2.15350501261549,3.32750261065665,1.32415209718639,1.77871965785427,2.40176996344917
"187","Pelly",2008,3.59327537462642,4.61508491392248,5.85532834295309,3.6835327724698,4.20769225387059,4.79218899080643
"188","Stewart",2008,1.5236483755833,2.14050792707951,2.8293116812578,2.3048248981793,2.40795990864412,2.51481326619777
"189","Carmacks",2008,6.63156859102943,8.3768521426241,10.3360150015102,2.44399129018238,6.30998846200845,15.023796235893
"190","Teslin",2008,5.7083410240932,7.45653422082587,9.50908455801228,5.02767836106125,7.51404442455173,11.2395445454091
"191","Middle Mainstem",2008,9.98821690416958,11.2849393677987,12.6666543238727,6.82620074830572,7.14365098220982,7.48036449008675
"192","Upper Lakes and Mainstem",2008,3.29140111874808,4.5400394655423,5.87438432129693,3.58786848895671,3.73915024786296,3.89711941306745
"193","Lower Mainstem",2009,7.77681036624351,9.69297961598522,11.7980948725651,6.17078654593057,7.61440015578907,9.35608663319404
"194","White-Donjek",2009,6.41765141606005,8.20838316278869,10.4893484160423,3.28258186591063,5.54896219205427,9.21019152607838
"195","Pelly",2009,12.4591923129076,14.2055252165481,16.1881735795088,12.0700694239964,13.4068240852003,14.8160458625625
"196","Stewart",2009,4.27074734656756,5.04255517749265,5.88159108506899,4.84044560878843,5.09338807654342,5.34798707715167
"197","Carmacks",2009,13.4018484081349,15.2540376179989,17.2708589713129,12.6454397683824,13.0865830601714,13.5395766225003
"198","Teslin",2009,5.83234395552717,7.00564177550363,8.41060619198058,8.78974981516794,12.0268562872918,16.6253813111327
"199","Middle Mainstem",2009,15.7061478268821,17.1490077408933,18.6794985774795,5.28799925793647,5.51014948929825,5.73954223560889
"200","Upper Lakes and Mainstem",2009,4.69464683881231,5.97243387495324,7.3155551876975,1.43058172444422,1.50254083539758,1.57642218753386
"201","Lower Mainstem",2010,3.93724028133843,5.9774670769091,8.65611078199857,2.79745984263629,3.85966311200553,5.33246435118453
"202","White-Donjek",2010,4.00402567666303,5.82477252434055,8.27539555083186,2.82282812372708,3.82391044530011,5.18056730152833
"203","Pelly",2010,6.04605547940818,7.332699702685,8.82832527644371,3.34346288897736,3.93266647535118,4.6038090363184
"204","Stewart",2010,2.16400068191508,2.86574923060448,3.67984155251531,1.72840307040953,1.927137446244,2.15022466808854
"205","Carmacks",2010,10.270737984533,12.0303953352408,14.0470922056232,4.9083161472831,5.55998671912357,6.27560075902835
"206","Teslin",2010,3.15721880865063,4.21796258358803,5.57577646732875,2.45813709119005,3.03460158011837,3.74311924995667
"207","Middle Mainstem",2010,10.427600490392,11.5422995472625,12.6915132346357,7.12681721537755,7.69158551598756,8.28959852826402
"208","Upper Lakes and Mainstem",2010,3.02028083692706,3.98690319813936,5.16996732968436,2.20927040097463,2.31761444510791,2.43214831880587
"209","Lower Mainstem",2011,17.7127095671767,21.9501035694136,26.8512184453656,2.45450520178848,3.24999587065268,4.26499131180106
"210","White-Donjek",2011,11.5007827444106,15.2153218274136,19.7044029468305,1.80350780898428,2.89742681286183,4.62054486029686
"211","Pelly",2011,10.697404313934,13.0149816579766,15.9931703806876,5.16315180156965,6.31916060292338,7.71365033316051
"212","Stewart",2011,6.84028352694375,7.99375005839185,9.22134143815199,2.38305487139069,2.48728683620521,2.60059830765425
"213","Carmacks",2011,16.3871566214285,18.9409470014251,21.9343159198787,9.58684782964242,11.2524927481664,13.2033023204984
"214","Teslin",2011,16.5088736004365,19.4617487557604,23.1071039087891,5.41924707920671,7.13299465045862,9.37521696943403
"215","Middle Mainstem",2011,10.1309109516837,11.2704975865716,12.5697246106431,9.16621302739846,9.41329044281392,9.66499328025806
"216","Upper Lakes and Mainstem",2011,3.6129468197423,4.37891391629197,5.26286543104519,4.68825954052937,4.85088277130293,5.01602945349407
"217","Lower Mainstem",2012,11.1136926177298,14.5023060169191,18.3782950932387,6.79462125328307,7.32716487625518,7.91509381508847
"218","White-Donjek",2012,7.17940901321928,10.3739946297259,14.246736079716,1.18112265044131,1.81386446294567,2.77749871036045
"219","Pelly",2012,10.0879234571014,11.9391645077514,14.0812035020262,3.27152248494489,4.33763108485213,5.66168072091273
"220","Stewart",2012,4.25004394787067,5.38524067037407,6.65254650134716,1.80234505319305,1.99787387696643,2.21626391957954
"221","Carmacks",2012,13.9055699573513,16.2113337739352,18.8829468729045,5.0287835837222,5.62153274821133,6.27823353535511
"222","Teslin",2012,8.81904871598532,10.7243408531849,12.9142996572184,2.94927828521333,3.76549553800686,4.82450000230661
"223","Middle Mainstem",2012,11.8746643119925,13.4189295715023,15.2644092867471,6.42656745447594,6.6793572601367,6.93388132388167
"224","Upper Lakes and Mainstem",2012,3.35540130597693,4.16619227822271,5.10779564270199,2.07309593623612,2.19911037299773,2.33022651639613
"225","Lower Mainstem",2013,8.55234992919916,11.5050355326822,16.2742211742267,1.1560234739163,2.29647654854839,4.4122859604893
"226","White-Donjek",2013,4.7722896985299,6.99645382884015,10.6300245539832,0.800406743288832,1.46078014374597,2.57544894612577
"227","Pelly",2013,8.46198033436977,10.5348729035235,13.4406494382971,2.88831036571362,3.55143124656171,4.36122624323904
"228","Stewart",2013,2.63350839406816,3.49910130705146,4.69793488990918,0.318944476226629,0.422113018933609,0.559223381291231
"229","Carmacks",2013,13.6238437700973,16.8268731646394,21.5791544272741,6.13325148699445,6.50413862014249,6.89813992499394
"230","Teslin",2013,6.80903082518506,8.85822968437231,12.3103212161579,8.2978301793317,9.43973294483012,10.7034428697202
"231","Middle Mainstem",2013,13.1001107391785,15.8468906607378,20.7040040680215,5.03091712285538,5.24206071356751,5.46604586233733
"232","Upper Lakes and Mainstem",2013,4.2969668020815,5.44940408138913,7.63870322505774,2.06786211131344,2.15853666439483,2.25160628235542
"233","Lower Mainstem",2014,6.27338749376036,11.5364985282938,25.4301268163042,1.59647626472814,2.45906146480913,3.60920695243558
"234","White-Donjek",2014,7.59254778275832,13.505088568973,25.8815654104261,4.41089166799816,6.19168880390792,8.62376099330135
"235","Pelly",2014,12.3126723737089,19.3552586973315,32.9681723068409,7.78055257568911,9.60044336011357,11.831189760802
"236","Stewart",2014,5.34301980189256,10.1652532369426,21.3198478170956,4.29083361740665,4.78609993205153,5.34304135826539
"237","Carmacks",2014,14.7642796476339,22.9144321764559,38.1968191643638,9.45914218671722,11.137623907328,13.0757743325433
"238","Teslin",2014,7.5947728588517,12.2927942399207,21.9000184218069,5.05861442489709,5.9766227756626,7.06704196789112
"239","Middle Mainstem",2014,13.8742928860459,23.2048048517072,44.8833342405252,15.574112983706,17.0917897164822,18.8158006544763
"240","Upper Lakes and Mainstem",2014,4.43878839977218,7.9563730920405,16.6365551432264,6.5198062868036,7.03258207276568,7.61625476582306
"241","Lower Mainstem",2015,4.39015575435905,15.2578807872425,58.1717391402809,10.9847837342348,11.8632896822034,12.8530601954534
"242","White-Donjek",2015,5.69358095246278,13.0368154406061,30.8535535951372,5.65764143065484,6.72258524021224,8.03398610136827
"243","Pelly",2015,10.6506389534074,21.6634123294879,44.6307178481637,11.5266133596853,12.4687362282499,13.5133420153322
"244","Stewart",2015,3.09464078361209,7.9883722362043,21.6086417181808,3.73877025590751,3.91454776723931,4.10232729154033
"245","Carmacks",2015,5.95765858482859,13.5025383298846,31.9250708281398,18.6604419891476,19.144289310991,19.6321929579264
"246","Teslin",2015,5.72666199237427,12.3075031169089,27.3830370933006,4.95454965619219,5.73070841423454,6.61756901643335
"247","Middle Mainstem",2015,8.1095999397481,21.3323587560602,62.4213011684941,17.8220232632133,18.2231746953597,18.6256196953501
"248","Upper Lakes and Mainstem",2015,3.05571415465379,9.18146786107432,30.2389358276785,4.76330462992631,4.93589169768601,5.11231367666448
"249","Lower Mainstem",2016,NA,NA,NA,11.4026051847385,14.5569977356694,18.5052123807339
"250","White-Donjek",2016,NA,NA,NA,6.27695303753867,9.02594170302786,13.0103769763052
"251","Pelly",2016,NA,NA,NA,5.34686584368438,8.00364926677364,11.6806157547485
"252","Stewart",2016,NA,NA,NA,4.64484596897765,4.90737252853652,5.18966055376141
"253","Carmacks",2016,NA,NA,NA,7.82872746596667,9.94035383250056,12.6336863882138
"254","Teslin",2016,NA,NA,NA,5.60277848031956,8.18741378027699,11.8780521135403
"255","Middle Mainstem",2016,NA,NA,NA,5.68788726681027,6.05417570836955,6.43759450736312
"256","Upper Lakes and Mainstem",2016,NA,NA,NA,2.8108938788925,2.9526648219567,3.10183951298218
"257","Lower Mainstem",2017,NA,NA,NA,10.1316875441752,10.6130231300556,11.1006112060496
"258","White-Donjek",2017,NA,NA,NA,9.91965492831113,10.3604957821783,10.8135925685791
"259","Pelly",2017,NA,NA,NA,7.83147979610588,8.88898465077658,10.0773205265535
"260","Stewart",2017,NA,NA,NA,3.28075455656924,3.54603902486903,3.82789644682124
"261","Carmacks",2017,NA,NA,NA,12.3213363442023,13.2874218276348,14.3016040977872
"262","Teslin",2017,NA,NA,NA,11.7974758401273,12.5894738494806,13.4498166533067
"263","Middle Mainstem",2017,NA,NA,NA,7.21236989375657,7.44913136270804,7.6975574863988
"264","Upper Lakes and Mainstem",2017,NA,NA,NA,2.69267463919034,2.79992364755788,2.91096803734289
"265","Lower Mainstem",2018,NA,NA,NA,10.0791320552028,10.395359323325,10.7236759796043
"266","White-Donjek",2018,NA,NA,NA,1.93569959836021,4.5502671938488,9.30567309654089
"267","Pelly",2018,NA,NA,NA,5.23446174332944,6.18685909400775,7.30562925675163
"268","Stewart",2018,NA,NA,NA,3.64561596067722,3.86097941533327,4.08038919377041
"269","Carmacks",2018,NA,NA,NA,9.67432352479419,11.6811202000025,14.0958470590921
"270","Teslin",2018,NA,NA,NA,5.31851841360969,6.26668278045655,7.40476709587386
"271","Middle Mainstem",2018,NA,NA,NA,10.5339132523798,11.1348938208515,11.7558214463024
"272","Upper Lakes and Mainstem",2018,NA,NA,NA,2.75453970731286,3.25471187072136,3.86531819763728
"273","Lower Mainstem",2019,NA,NA,NA,2.34355475267825,3.49028344920649,5.21382460161095
"274","White-Donjek",2019,NA,NA,NA,3.36157543016317,5.1115468831372,7.72550065924108
"275","Pelly",2019,NA,NA,NA,6.33412979167455,7.46279823540387,8.79093382689021
"276","Stewart",2019,NA,NA,NA,2.1746084531155,2.52072187865685,2.90415023659737
"277","Carmacks",2019,NA,NA,NA,7.42429234568966,9.11770112777677,11.187497064135
"278","Teslin",2019,NA,NA,NA,4.11371065668508,5.02957547401871,6.1265952485574
"279","Middle Mainstem",2019,NA,NA,NA,8.13900588162955,9.06970246102086,10.0965466739877
"280","Upper Lakes and Mainstem",2019,NA,NA,NA,3.0195005106836,3.40536680704755,3.84361982146984
